model,ckpt,cd,t,emd
pvd_x0,134999,77.984065,100.0,0.08224051
pvd_x0,134999,35.16706,10.0,0.030538183
pvd_x0,134999,39.70317,15.0,0.03455353
pvd_x0,134999,43.394674,20.0,0.038533237
pvd_x0,134999,59.590757,50.0,0.058133364
pvd_x0,134999,46.733999999999995,25.0,0.04216035
pvd_x0,134999,28.459787,5.0,0.02435668
scannet_cut_pvd,199999,137.10101999999998,100.0,0.14559047
scannet_cut_pvd,199999,34.207840000000004,10.0,0.033599198
scannet_cut_pvd,199999,43.2261,15.0,0.04368015
scannet_cut_pvd,199999,51.477708,20.0,0.053160198
scannet_cut_pvd,199999,91.33507,50.0,0.09852028
scannet_cut_pvd,199999,59.108842,25.0,0.06194543
scannet_cut_pvd,199999,23.7938,5.0,0.022166856
scannet_cut_pvd,339999,47.16136,100.0,0.06739126
scannet_cut_pvd,339999,14.258519000000001,10.0,0.014230248
scannet_cut_pvd,339999,16.170513,15.0,0.017158834
scannet_cut_pvd,339999,18.195304999999998,20.0,0.020245977
scannet_cut_pvd,339999,30.41168,50.0,0.040033914
scannet_cut_pvd,339999,20.25049,25.0,0.023440985
scannet_cut_pvd,339999,12.312646,5.0,0.0110372715
scannet_cut_mink,344999,118.7463,100.0,0.10118677
scannet_cut_mink,344999,30.442688999999998,10.0,0.028023908
scannet_cut_mink,344999,37.1084,15.0,0.03455394
scannet_cut_mink,344999,43.132715000000005,20.0,0.040436305
scannet_cut_mink,344999,73.73685400000001,50.0,0.06908876
scannet_cut_mink,344999,48.74032,25.0,0.04584971
scannet_cut_mink,344999,22.433784,5.0,0.019855065
